,randomized,question_url,course_code,question_id,inductive_coding_question_type,Media,question_title,question_body,question_good_count,Time,,instructor_answer,instructor_answer_good_count,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,pedagogy_1,clarity_1,annotator_notes,pedagogy_2,external references,relevant concepts,Example,visual aids,Others,clarity_2,annotator_notes
1,679,https://piazza.com/class/kyv6e51g6211zk/post/007,COMP2611,question @7,"homework_submission_requirements, ",1,Is it necessary to summit hard-written homework?,"[fig1]
As I am reading through the instructions for the homework, it seems that we are required to work out all our work on the hard copy of the homework document. I would like to ask if we can just type all the work in a word document or only hard-written homework is allowed? Thank you in advance.",1,Updated 2 years ago by Anonymous Comp,,"Good question! Yes, you can definitely work them out using winword (or other editors), and then save the answers as a PDF file for submission. But please associate the answers with the questions well (put questions number next to the answers), so that the markers would know which answer corresponds to which question. Hope this helps! Hope you will enjoy the homework!
 
 Lam Ngok",1,~ An instructor (Cindy LI) endorsed this answer ~,,,,G,3,,G,,,1,,,3,
2,511,https://piazza.com/class/kyv6e51g6211zk/post/008,COMP2611,question @8,course_material,0,How could I find the Lecture video of cindy?,How could I find the Lecture video of cindy?,0,Updated 2 years ago by Anonymous Helix,,"It's in COMP2611 Canvas.
 
 Go to Zoom meeting -> Cloud recordings. Usually I release the video in the evening of the lecture day.",1,~ An instructor (Alex Lam) endorsed this answer ~,,,,G,3,,,,,,,,3,
8,491,https://piazza.com/class/kyv6e51g6211zk/post/014,COMP2611,question @14,lecture,0,IEEE754 infinity,"Hello, may I ask about why infinity of IEEE754 standard is represented as : sign bit 0, exponent all 1, mantisa all 0. 
 
 I am kind of confused because it is actually representing 1.0 * 2^128, why is it regarded as infinity? 
 
 Thanks!",0,"Updated 2 years ago by CHANG, Bing Yen and Anonymous Mouse",,"The designers of the IEEE754 standard specified this as a special case to represent infinity.
 
 One convenience is that ""infinity"" can still be represented as the same ""float"" or ""double"" data-type in higher-level programming languages.
 
 Then we have a guarantee that any other floating point number (except NaNs) will compare as less-than positive infinity (or more than negative infinity).
 
 This also builds-in a way for the arithmetic processor to detect and catch magnitude overflow and clamp as ""infinity"", instead of wrapping-around.",2,~ An instructor (Alex Lam) endorsed this answer ~,,,,"P, G",3,,I,,1,,,,3,
9,428,https://piazza.com/class/kyv6e51g6211zk/post/015,COMP2611,question @15,exam_scope,0,Coverage of mid term,May i know the coverage of mid term? thank you,1,Updated 2 years ago by Anonymous Calc,,Please refer to the recent email regarding midterm info and arrangements.,1,~ An instructor (Alex Lam) endorsed this answer ~,,,,P,3,,P,1,,,,,2,
10,471,https://piazza.com/class/kyv6e51g6211zk/post/016,COMP2611,question @16,exercise_question,1,Calculation on value of bias,"This is the exercise from Data Representation ppt, so how can we know the value of the bias is 3?
[fig1]",0,Updated 2 years ago by Anonymous Helix,,The general formula is 2(num_exponent_bits - 1) - 1.,2,~ An instructor (Alex Lam) endorsed this answer ~,"011(2) = 3
 0111 1111(2) = 127
 To take the middle of unsigned binary integers to offset?
 000, 001, 010, 011, 100, 101, 110, 111",1,,,2,,O,,,,,formula,2,
13,604,https://piazza.com/class/kyv6e51g6211zk/post/019,COMP2611,question @19,lecture,0,hw2 q1 hexadecimal,"For negative numbers in binary representation, when we are converting them into hexadecimal representation, do we just simply convert it, or do we have to convert it to unsigned binary number then hexadecimal with a negative sign?
 
 e.g. bin: 1111, do we convert it to F or -1 in hexadecimal?
 
 Thanks.",2,Updated 2 years ago by Anonymous Gear,,"It is a good question. We just simply convert the binary representation into hexadecimal representation, for both positive and negative numbers.",1,"~ An instructor (CHANG, Bing Yen) endorsed this answer ~",Representation is different with value,3,,,3,,,,,,,,2,
15,50,https://piazza.com/class/kyv6e51g6211zk/post/021,COMP2611,question @21,exercise_question,0,Hw2 Q3,"For Q3 c) d) e) and f), I wonder whether it is reusing the system built in b) with the min number of bits needed for the exponent, or building a new one for those questions.
 
For example, let's say I made the system in b) with m bits for exponent and (16 - m) bits for significand which m is indeed the min number required for b),
 
 do I use the same system to find the max length that can be represented? Or do I make a new one that has n bits for exponent and (16 - n) for significand that really can represent the real max length from a 16 bits system? (m != n)",0,Updated 2 years ago by Anonymous Helix,,"Yes, you need to use the system designed in (b) to answer parts (c) to (f) and see how the system designed by you would work. This question tries to show you how you could build your own data representation scheme (data type) based on some given information - this is in general not possible in high level languages like C++, but possible in the instruction level.",1,,,,,I,3,,I,,1,,,,3,
16,416,https://piazza.com/class/kyv6e51g6211zk/post/022,COMP2611,question @22,exercise_question,0,"hw2, q3","Does cdef use the result of b? i.e. we determine the minimum number of bits needed for exponent in question b, in the following questions, we need to follow the allocation the same as qb?
 
 Update: it seems to be a duplicate of a latest question, but I don't know how to delete this one.",0,Updated 2 years ago by Anonymous Poet,,"No problem, yes this is a duplicate of a previous thread. The answer is the same:
 
 Yes, you need to use the system designed in (b) to answer parts (c) to (f) and see how the system designed by you would work. This question tries to show you how you could build your own data representation scheme (data type) based on some given information - this is in general not possible in high level languages like C++, but possible in the instruction level.",1,,,,,I,3,,I,,1,,,,3,
17,379,https://piazza.com/class/kyv6e51g6211zk/post/023,COMP2611,question @23,hw_content_clarification,0,HW2Q2,"The title said if it can't be represented precisely, need to find the nearest approximation, so do we need to convert it back to decimal of the cut off version?",0,Updated 2 years ago by Loading...,,Representation in binary will be good enough. Please give the nearest approximation representation in binary. You don't have to convert to decimal,1,,,,,,3,,,,,,,,3,
21,462,https://piazza.com/class/kyv6e51g6211zk/post/027,COMP2611,question @27,exercise_question,0,HW2 Q1 a&#xff09;1&#xff09;,why the answer for decimal is -2346， shouldn't it be -2347 ？,0,Updated 2 years ago by Anonymous Gear,,"Yes, there is a typo and it should be -2347. The solution at the course web has been updated for this typo.",1,,,,,,3,,,,,,,,3,
23,571,https://piazza.com/class/kyv6e51g6211zk/post/029,COMP2611,question @29,lecture,0,while loop example,"Can I please ask that in the while loop example why do we need to sll first ?
 
 sorry a bit lost there 
 
 I know that we are trying to calculate the address of save[i] but not sure completely 
 
 thank you 
 
 any help appreciated",0,Updated 2 years ago by Anonymous Atom,,"Suppose you have a *word* array, arr[5] = {1, 2, 3, 4, 5}. The base address (starting address) is at $s0.
 
 The address of arr[0]: $s0
 
 The address of arr[1]: $s0 + 4 (4 is offset, it's 1 x 4)
 
 The address of arr[2]: $s0 + 8 (8 is offset, it's 2 x 4)
 
 and so on...
 
 If we use $s1 to hold i, array index. $t0 for arr[i], $t1 for address of arr[i]
 Then $t1 = $s0 + 4 * $s1
 
 We haven't learned multiplication MIPS instruction, so we use shift left for 2 position as a shortcut of multiplication by 4.
 
 For example, 00010, after shift left by 2 positions, 01000. (Note, use shift as shortcut of multiplication assumes it's for unsigned, and the result still fits in the representable range).",2,,"by sll $t1, $s3, 2, we calculated i*4.As each element in the array takes 4 bytes, so when the index increase by 1, the address increase by 4. So this is just making use of the index difference to calculate the address difference. And adding that address difference to the base address will get the address of the ith element in the array.",0,,G,3,,G,,,1,,,3,
25,310,https://piazza.com/class/kyv6e51g6211zk/post/031,COMP2611,question @31,course_material,0,Lecture recording,"Hello,
 
 I am unable to find Professor Cindy's Lecture recording for 12th April on Canvas. Can the Professor please assist?
 
 Thank you",0,Updated 2 years ago by Anonymous Comp,,"Oops, sorry. I just released it.
 
 Direct link:
 
 Topic: COMP2611 (L1) - Lecture by Cindy LI
 
 Start Time: Apr 12, 2022 10:22 AM
 Meeting Recording:
 
 https://hkust.zoom.us/rec/share/affrAGAUEZYBXl9yJ2tKcFXAdE_m6GK24OWFvelOqfSUc380byLXBHJf12Nd8tnk.mV3Og3MPmKm_ekQU",1,,,,,P,3,,,,,,,,3,
34,549,https://piazza.com/class/kyv6e51g6211zk/post/041,COMP2611,question @41,project_debugging,0,Upper spine hurt and platform y speed,"Hi, the functionality for hurting of the upper spine doesn't seem to work when jumping on a spring platform or when the platform_y_speed increases beyond the initial speed.
 
 Also, when the last stood on platform exits the screen, the platform_y_speed is reset to initial.
 
 I would like to know if these two behaviour is intended?",0,Updated 2 years ago by Anonymous Calc,,"The upper spine hurt is checked by the y_location of the player. Therefore, the player may not get hurt sometimes by design. 
 
 These two behaviors exist by design. You do not need to fix them.
 
 Also, your score will not be influenced by them.",1,,,,,,3,,,,,,,,3,
35,307,https://piazza.com/class/kyv6e51g6211zk/post/045,COMP2611,question @45,course_material,0,4.21 COMP2611 Cindy's Lecture Recording,I have trouble finding Cindy's Lecture recoridng on 4.21. Could Cindy please kindly release it?,1,Updated 2 years ago by Anonymous Gear,,"It's strange. I released on Thur.
 
 I just hide and then release the video again. Please see whether you can access it.
 
 https://hkust.zoom.us/rec/play/tzPsVCyCLpsFb9yNzqM-4fXn6AVJInhS34ufyBA4sTD-abcpKH2AVSOgLLbQFIncN5zGwwJpN2f3SyQK.Tq0Mlq17CJqfpvaT",1,,,,,,3,,P,1,,,,,3,
39,478,https://piazza.com/class/kyv6e51g6211zk/post/049,COMP2611,question @49,course_material,1,Cannot find PA recording,"Dear TA,
 
 Could you please upload the recording of the session mentioned in the following image. I would like to go through it.
 
 [fig1]
 
 Thankyou so much!",0,Updated 2 years ago by Anonymous Atom,,"The PA recording is released now, please check it :)",1,,,,,,3,,,,,,,,3,
40,795,https://piazza.com/class/kyv6e51g6211zk/post/050,COMP2611,question @50,project_debugging,0,Problem on task 6,"Unable to destory platform. The init platform id should be 1 to 10 but I choose any number between 1 to 10 and store in a0 to call 208, it always said that GameObject: id does not exist! However I choose any number other than 1 to 10 there will be no error.",0,Updated 2 years ago by Anonymous Beaker,,"Please double-check your code carefully. There might be some mistakes in your implementation. 
 
 For example, try to change the location of a platform. Or, check if the platforms have been destroyed elsewhere. 
 
 If the platform has been destroyed, when you refresh the screen, you will not see the platform.",1,,"So, this thing is happening with me as well, turns out, it will happen if you have not finished the whole task, if after executing syscall 208, you do
 
 jr $ra
 
 which I was doing to check if my program is working or not, it will take you to this section of the skeleton code: -
 
 which tries to execute syscall 207 with id 1 (for the first case) to set the location of platform of id 1 (which doesn't exist anymore). According to the points mentioned in the hint for Task 6, you need to update the address. So it is imperative to finish the task in order to debug it.",1,,G,3,,G,,,1,,,2,
42,191,https://piazza.com/class/kyv6e51g6211zk/post/054,COMP2611,question @54,project_content_clarification,0,How is the interface of the game built?,"I do not really understand how the skeleton build the game interface in the mips code, I think that it should be related to the modified mars? How you actually did it? (e.g. where are the image/src stored? how they are loaded?... etc)
 
 This is not related to the project itself but I am just curious, thank you so much!",0,Updated 2 years ago by Anonymous Comp,,"Interesting question. 
 
 The MARS is open-source software. The game-related code, images, and sound are added to the MARS project. 
 
 Here is a screenshot of the project, FYI.",2,,,,,P,3,,U,,,,1,,3,
44,272,https://piazza.com/class/kyv6e51g6211zk/post/056,COMP2611,question @56,troubleshooting,0,cant open modified mars on virtual barn,"hi, i'm on my last resort and trying to open the modified MARS file on virtual barn, but i need to install JDK on it since the version on virtual barn isnt the right version. however, i cant run any .exe files to install it without admin access so im kind of stuck. any ideas?",0,Updated 2 years ago by Anonymous Comp,,"I re-compiled the MARS project with JDK version 1.8.0 (a.k.a. java 8). This newly compiled version is compatible with different JRE versions from java 8 to java 18.
 
 Mars_NS-shaft_java8.jar",1,,,,,,3,,,,,,,,3,
45,632,https://piazza.com/class/kyv6e51g6211zk/post/058,COMP2611,question @58,project_debugging,0,Problem with task 6,"I have just implemented task 6 with correct shifting and the generation of new platforms. I followed the hints exactly.
 
 I can only run the game when task 6 is being executed under the condition that I set a breakpoint before the loop for shifting the elements in ""platforms"", then the program at needs to be executed one step at a time until the function is finished. But if I let it run normally, it crashes when a platform touches the top of the window, In this situation, I can't go back, can't pause, can't stop. I have to reopen the application. Is there anyone facing the same problem? or has faced the problem and can share how the bug is to be fixed please? 
 
 The thing I find strange is how is it that the same program can crash and not crash at the same time.
 
 Any guidance or general direction? Thanks",0,Updated 2 years ago by Anonymous Calc,,"Please note that, the syscall 211 has two inputs: $a0: last platform x_loc, $a1: screen width.
 
 You can refer to Table 5 in the project PDF document.",1,,"I think the problem is with syscall_211 in step 6
 
 # 6. Generate the x_loc of the new platform: x_loc = Syscall_211 ($a0=x_loc of last platform)
 
 I have tried to put breakpoints behind and after the instruction with this syscall. It works differently
 
 It also seems that syscall with 211 always return the same result. It is d3 in my computer",0,,P,2,,P,1,,,,,2,
46,708,https://piazza.com/class/kyv6e51g6211zk/post/059,COMP2611,question @59,project_noncontent_clarification,0,end state text and submission,"Is it normal that the end state text e.g. ""you win!"" won't go away if I recompile and play without closing the last window?
 
 Also, do I need to submit a flow chart for the project, or just finishing the 8 tasks would be enough (in a way that could get me 100% given all the implementations are correct).
 
 Thanks.",0,Updated 2 years ago by Anonymous Atom,,"Q1: If you do not close the last game canvas and restart the game, the text ""you win!"" will not disappear. Therefore, you should first close the game canvas after playing. Then, you recompile and play the game for the next time. 
 
 
 Q2: You need to submit a one-page flow chart as it accounts for a part of the grades of this PA.",1,,,,,,3,,,,,,,,3,
47,807,https://piazza.com/class/kyv6e51g6211zk/post/060,COMP2611,question @60,project_noncontent_clarification,0,Demo of PA?,"Is it possible to get a sample gameplay of the final outcome of the project, to ensure we're doing the steps correctly?",1,Updated 2 years ago by Anonymous Mouse,,"I just made a demo video for this game. Please check it: 
 
 NS-shaft_Demo.mov
 
 The video link on YouTube is:
 
 https://youtu.be/FfN6o5lLnIY",3,,,,,U,3,,"P, U",1,,,1,,3,
48,793,https://piazza.com/class/kyv6e51g6211zk/post/061,COMP2611,question @61,logistics,0,Homework4 Schedule,May I know in advance the release date and due date of homework 4? So that I can better plan my studies in the next few weeks. Thanks!,0,Updated 2 years ago by Anonymous Atom,,"We are still waiting to make sure all the sessions are done with single cycle datapath. Once this is confirmed, Homework 4 will be released shortly. We will give you more than enough time, and it is likely the deadline to be on 11th May.",1,,,,,,3,,,,,,,,3,
50,202,https://piazza.com/class/kyv6e51g6211zk/post/063,COMP2611,question @63,exercise_question,1,ALU Control,"I was doing HW4 and I do not understand why the ALU Control should have different signals for 'subtract' function (0110) and 'set on less than' function (0111).
 
 Essentially, both of these would be doing subtraction of x - y, the only difference is that for set less than, AFTER the ALU operations it would check if bit 0 of the output is 1 (x - y < 0). So why is there any difference in the ALU Control signal when calculation is similar INSIDE the ALU?
 
 That is as far as my understanding goes.
 
 [fig1]
 Reference (Datapath 1 p.22)",0,Updated 2 years ago by Loading...,,"Though sub and slt both require the adder in the ALU doing the subtraction, but the results produced by them are not the same. For sub, it is producing the real subtraction result (for example if we have 15-9=6, then sub will need to have 6 to be the result). slt on the other hand needs producing a result indicating the sign of the subtraction (for example if we have the same 15-9, instead of 6, slt needs to produce the result of 0 as the sign bit of the subtraction is 0). If you look at the slide 25 of the arithmetic note set (https://course.cse.ust.hk/comp2611/note/COMP2611_Arithmetic_Spring22.pdf#page=25), to get the result for slt, we need to supply different value (than that of the sub) to be the switch (called ""Operation"" on the slide) that selects the result for the ALU.",1,,,,,G,2,,G,1,1,1,,,3,
