,randomized,question_url,course_code,question_id,inductive_coding_question_type,relevance_to_course_content,contextual,additional_notes_on_question,complexity_of_question,reason_for_complexity,Media,question_title,question_body,question_good_count,Time,instructor_answer,instructor_answer_good_count,instructor_task_completion,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,,,,,,,,,,,,,,,,,,,
1,679,https://piazza.com/class/kyv6e51g6211zk/post/007,COMP2611,question @7,"homework_submission_requirements,",1,,,,,1,Is it necessary to summit hard-written homework?,"[fig1]
As I am reading through the instructions for the homework, it seems that we are required to work out all our work on the hard copy of the homework document. I would like to ask if we can just type all the work in a word document or only hard-written homework is allowed? Thank you in advance.",1,Updated 2 years ago by Anonymous Comp,"Good question! Yes, you can definitely work them out using winword (or other editors), and then save the answers as a PDF file for submission. But please associate the answers with the questions well (put questions number next to the answers), so that the markers would know which answer corresponds to which question. Hope this helps! Hope you will enjoy the homework!

Lam Ngok",1,2,~ An instructor (Cindy LI) endorsed this answer ~,,,,,,,,,,,,,,,,,,,,,,
2,511,https://piazza.com/class/kyv6e51g6211zk/post/008,COMP2611,question @8,course_material,1,,,,,0,How could I find the Lecture video of cindy?,How could I find the Lecture video of cindy?,0,Updated 2 years ago by Anonymous Helix,"It's in COMP2611 Canvas.

Go to Zoom meeting -> Cloud recordings. Usually I release the video in the evening of the lecture day.",1,2,~ An instructor (Alex Lam) endorsed this answer ~,,,,,,,,,,,,,,,,,,,,,,
3,124,https://piazza.com/class/kyv6e51g6211zk/post/009,COMP2611,question @9,set_up,2,,,,,1,Mar Not Working,"Hi there, I am trying to type out the hello world program discussed in the lecture on Mar. It is assembled successfully, but the execute panel shows nothing.

[fig1]

Any help would be greatly appreciated, thank you!",0,Updated 2 years ago by Anonymous Comp,"It seems that you are using Windows.

As there are two bars above the blue screen, I guess the ""Text Segment"" and the ""Data Segment"" are both minimized. You may try to double click the two bars, or re-open the Mars. 

Any student who is using Windows is encouraged to share your solution : )",0,1,,,,,,,,,,,,,,,,,,,,,,,
4,437,https://piazza.com/class/kyv6e51g6211zk/post/010,COMP2611,question @10,hw_content_clarification,,yes,,,,0,Floating Point Precision,"In Q2, we are asked to find the nearest approximation of a float if it cannot be represented exactly by IEEE754. However, how ""near"" should that be? As 0.085 = 1/16 + +... and so on. When shall we stop, round it or truncate it? 

Thank you",0,Updated 2 years ago by Alex Lam and Anonymous Calc,"If you read the question description, it says ""find the nearest approximation of the number(either rounding or truncation)."". Meaning that you can do rounding or truncation and we will accept both.

Also please try not to post any information related to the solution (I have edited it to partially mask it) in this public group. Thanks!",0,1,,,,,,,,,,,,,,,,,,,,,,,
5,650,https://piazza.com/class/kyv6e51g6211zk/post/011,COMP2611,question @11,hw_content_clarification,,yes,,,,0,Question on hw 2 qs 3.,"I see in the question it says the longest length will be 45845.0, is it mean that the smallest number we need to store is 0.1? Or do we need to shift 0 to the center of exponent like IEEE754?",1,Updated 2 years ago by Loading...,"I think the question says ""system should work in a similar way as the IEEE754"", therefore I think it is a good idea to deal with the exponent in the same way as that of IEEE754.",0,1,,,,,,,,,,,,,,,,,,,,,,,
6,830,https://piazza.com/class/kyv6e51g6211zk/post/012,COMP2611,question @12,exercise_question,,yes,,,,0,hw2 q3 c,"In part c, why does it ask about the max length if we already know that the system will not store a number larger than 45845.",0,Updated 2 years ago by Loading...,Because even you design it to store the biggest value 45845.0 . But the resulting system can in fact memorize a value bigger than it. You can do the calculation to see that.,0,1,,,,,,,,,,,,,,,,,,,,,,,
7,58,https://piazza.com/class/kyv6e51g6211zk/post/013,COMP2611,question @13,hw_content_clarification,,yes,,,,0,hw2 q3,The question mentions that the maximum length to be stored is 45845.0 in the system. So does it mean that the system should be able to represent the exact value of 45845.0?,0,Updated 2 years ago by Anonymous Calc,This is because even you design it to store the biggest value 45845.0 . But the resulting system can in fact memorize a value bigger than it. You can do the calculation to see that.,0,1,,,,,,,,,,,,,,,,,,,,,,,
8,491,https://piazza.com/class/kyv6e51g6211zk/post/014,COMP2611,question @14,lecture,,,,,,0,IEEE754 infinity,"Hello, may I ask about why infinity of IEEE754 standard is represented as : sign bit 0, exponent all 1, mantisa all 0. 

I am kind of confused because it is actually representing 1.0 * 2^128, why is it regarded as infinity? 

Thanks!",0,"Updated 2 years ago by CHANG, Bing Yen and Anonymous Mouse","The designers of the IEEE754 standard specified this as a special case to represent infinity.

One convenience is that ""infinity"" can still be represented as the same ""float"" or ""double"" data-type in higher-level programming languages.

Then we have a guarantee that any other floating point number (except NaNs) will compare as less-than positive infinity (or more than negative infinity).

This also builds-in a way for the arithmetic processor to detect and catch magnitude overflow and clamp as ""infinity"", instead of wrapping-around.",2,2,~ An instructor (Alex Lam) endorsed this answer ~,,,,,,,,,,,,,,,,,,,,,,
9,428,https://piazza.com/class/kyv6e51g6211zk/post/015,COMP2611,question @15,exam_scope,,,,,,0,Coverage of mid term,May i know the coverage of mid term? thank you,1,Updated 2 years ago by Anonymous Calc,Please refer to the recent email regarding midterm info and arrangements.,1,2,~ An instructor (Alex Lam) endorsed this answer ~,,,,,,,,,,,,,,,,,,,,,,
10,471,https://piazza.com/class/kyv6e51g6211zk/post/016,COMP2611,question @16,exercise_question,,,,,,1,Calculation on value of bias,"This is the exercise from Data Representation ppt, so how can we know the value of the bias is 3?
[fig1]",0,Updated 2 years ago by Anonymous Helix,The general formula is 2(num_exponent_bits - 1) - 1.,2,2,~ An instructor (Alex Lam) endorsed this answer ~,"011(2) = 3
0111 1111(2) = 127
To take the middle of unsigned binary integers to offset?
000, 001, 010, 011, 100, 101, 110, 111",1,,,,,,,,,,,,,,,,,,,,
11,408,https://piazza.com/class/kyv6e51g6211zk/post/017,COMP2611,question @17,hw_noncontent_clarification,,yes,,,,0,hw2 q1,do we have to give steps for question 1? if so how detailed?,0,"Updated 2 years ago by CHANG, Bing Yen and Anonymous Poet","Yes, please show all the steps clearly whenever possible. Otherwise the TA may not be able to know the logic of your work.",0,1,,,,,,,,,,,,,,,,,,,,,,,
12,102,https://piazza.com/class/kyv6e51g6211zk/post/018,COMP2611,question @18,course_material,,,,,,0,where can I find right answer to check my incorrect position,,0,Updated 2 years ago by Anonymous Beaker,Solution released on the Course Website.,0,1,,,,,,,,,,,,,,,,,,,,,,,
13,604,https://piazza.com/class/kyv6e51g6211zk/post/019,COMP2611,question @19,lecture,,yes,,,,0,hw2 q1 hexadecimal,"For negative numbers in binary representation, when we are converting them into hexadecimal representation, do we just simply convert it, or do we have to convert it to unsigned binary number then hexadecimal with a negative sign?

e.g. bin: 1111, do we convert it to F or -1 in hexadecimal?

Thanks.",2,Updated 2 years ago by Anonymous Gear,"It is a good question. We just simply convert the binary representation into hexadecimal representation, for both positive and negative numbers.",1,2,"~ An instructor (CHANG, Bing Yen) endorsed this answer ~",Representation is different with value,3,,,,,,,,,,,,,,,,,,,,
